Player,Pos,School,Ht,Wt,40yd,Vertical,Bench,Broad_Jump,3Cone,Shuttle,Draft_Pick
Adam Koets,OT,Oregon State,77,298,5.08,32,20,106,7.44,4.47,6
Enoka Lucas,C,Oregon,75,303,5.46,27.5,34,104,8.1,4.84,-1
James Marten,OT,Boston Col.,79,309,5.08,30.5,,100,7.68,4.54,3
Drew Mormino,C,Central Michigan,75,299,5.32,28,27,105,7.48,4.53,6
Dan Mozes,C,West Virginia,75,293,5.35,25.5,28,101,7.98,4.84,-1
Uche Nwaneri,OG,Purdue,75,325,5.37,,24,,,,5
Mike Otto,OT,Purdue,77,308,5.2,26.5,20,105,7.62,4.67,-1
Manny Ramirez,OG,Texas Tech,75,326,5.24,,40,,,,4
Dan Santucci,OG,Notre Dame,75,301,5.13,29,23,102,7.47,4.74,7
Samson Satele,C,Hawaii,75,300,5.24,33,25,101,7.47,4.29,2
Arron Sears,OG,Tennessee,75,319,5.09,,21,,,,2
Ken Shackleford,OT,Georgia,77,322,5.3,24.5,28,102,8.35,5.05,6
Joe Staley,OT,Central Michigan,78,306,4.79,,27,,,,1
Scott Stephenson,C,Iowa State,75,297,5.2,29.5,21,99,7.62,4.57,-1
Cameron Stephenson,OG,Rutgers,75,306,5.4,28.5,34,101,7.72,4.81,5
Kasey Studdard,OG,Texas,74,303,5.18,,32,,,,6
Palauni Ma Sun,OG,Oregon,77,319,5.86,24.5,22,91,8.7,5.01,-1
Herb Taylor,OT,TCU,76,296,5.19,27,26,100,7.78,4.64,-1
Joe Thomas,OT,Wisconsin,79,311,4.92,33,28,110,7.95,4.88,1
Tony Ugoh,OT,Arkansas,77,301,5.06,32.5,32,117,,,2
Dane Uperesa,OT,Hawaii,76,309,5.28,,,,,,-1
Elliot Vallejo,OT,California-Davis,79,327,5.38,26,24,94,7.95,5.14,-1
Julius Wilson,OT,Ala-Birmingham,76,327,5.43,27,,103,8.33,5,-1
Mansfield Wrotto,OG,Georgia Tech,75,317,5.4,,27,92,8.34,4.92,4
Marshal Yanda,OT,Florida State,76,307,5.15,,,,,,3
Branden Albert,OG,Virginia,78,309,5.17,26,23,111,7.97,4.78,1
Sam Baker,OT,USC,77,309,5.5,,28,,,,1
Kirk Barton,OT,Ohio State,76,310,5.01,,34,,,,7
Demetress Bell,OT,Michigan State,77,303,5.18,26.5,9,109,7.65,4.65,7
James Blair,OG,West. Michigan,75,323,5.28,23.5,28,103,8.44,5.33,-1
Duane Brown,OT,Virginia Tech,76,315,5.07,27.5,24,105,7.58,4.52,1
Gosder Cherilus,OT,Boston Col.,78,314,5.14,23,24,102,7.6,4.82,1
Ryan Clady,OT,Boise State,78,309,5.18,,24,,,,1
Corey Clark,OT,Texas A&M,77,315,5.28,23,23,106,7.47,4.68,7
Devin Clark,OT,New Mexico,76,305,5.3,21,25,95,8.38,5.03,-1
Anthony Collins,OT,Kansas,77,317,5.54,22.5,26,97,7.71,4.87,4
Oniel Cousins,OT,Texas-El Paso,76,308,5.11,24.5,23,107,7.9,4.8,3
Andrew Crummey,OG,Maryland,77,299,5.32,,,,,,-1
Franklin Dunbar,OT,Middle Tennessee State,77,327,5.58,24.5,27,101,8.36,5.18,-1
King Dunlap,OT,Auburn,80,310,5.28,,21,,,,7
Robert Felton,OG,Arkansas,76,315,5.51,23,22,98,8.08,4.84,-1
Breno Giacomini,OT,Louisville,79,303,5.2,22.5,23,108,7.56,4.63,5
Mike Gibson,OG,California,75,305,5.27,27,31,110,7.21,4.64,6
John Greco,OT,Toledo,77,305,5.29,26,30,108,8.03,4.82,3
David Hale,OT,Weber State,78,314,5.27,26,25,100,7.69,4.75,4
Tony Hills,OT,Texas,77,309,5.16,,,,,,4
Steve Justice,C,Wake Forest,75,293,5.24,21,23,98,7.4,4.58,6
Brandon Keith,OT,New Mexico,77,343,5.27,26,31,,,,7
Kory Lichtensteiger,C,Bowling Green,74,298,5.25,23,,104,7.6,4.56,4
Jake Long,OT,Michigan,79,313,5.22,27.5,37,102,7.44,4.73,1
Chris McDuffie,OG,Clemson,76,330,5.3,,29,,,,-1
Mike McGlynn,OG,Pittsburgh,76,311,5.38,23,30,101,7.58,4.72,4
Shawn Murphy,OG,Utah State,76,320,5.38,21.5,29,100,7.74,4.89,4
Carl Nicks,OT,Nebraska,77,341,5.22,25.5,31,109,7.91,4.68,5
Jeff Otah,OT,Pittsburgh,78,322,5.55,22.5,27,102,,,1
Mike Pollak,C,Arizona State,75,301,4.99,25,29,110,7.49,4.47,2
Tyler Polumbus,OT,Colorado,79,312,5.3,26,24,112,7.71,4.86,-1
Chilo Rachal,OG,USC,77,315,5.16,25.5,28,108,8.01,5.14,2
Drew Radovich,OG,USC,76,301,5.33,23,21,108,7.47,4.53,-1
Jamey Richard,C,Buffalo,77,295,5.22,26.5,22,107,7.58,4.69,7
Barry Richardson,OT,Clemson,79,320,5.45,25.5,24,100,8,5.16,6
Chad Rinehart,OG,New Mexico,77,320,5.42,28.5,26,106,7.84,4.56,3
William Robinson,OT,San Diego State,77,297,5.23,19.5,22,,,,-1
Roy Schuening,OG,Oregon State,76,306,5.29,25,26,,,,5
Geoff Schwartz,OT,Oregon,78,332,5.36,20.5,,98,7.9,4.79,7
Pedro Sosa,OT,Rutgers,76,300,5.29,,19,,,,-1
Matt Spanos,C,USC,77,317,5.47,22.5,,104,7.9,4.92,-1
John Sullivan,C,Notre Dame,75,301,5.35,30,21,103,7.62,4.55,6
Donald Thomas,OG,Connecticut,75,303,5,24.5,28,100,7.45,4.78,6
Cody Wallace,C,Texas A&M,76,296,5.3,30.5,26,113,7.45,4.55,4
Chris Williams,OT,Vanderbilt,78,315,5.13,25,21,103,7.95,4.85,1
Eric Young,OG,East. Michigan,76,310,5.18,,,,,,-1
Jeremy Zuttah,OT,Rutgers,75,303,4.99,26.5,35,107,7.59,4.54,3
Roger Allen,OG,Missouri Western State,75,326,5.25,,,,,,-1
Will Beatty,OT,Connecticut,78,307,5.06,33.5,27,107,7.62,4.77,2
Joel Bell,OT,Furman,79,315,5.11,30,27,109,7.55,4.57,-1
Alex Boone,OT,Ohio State,79,328,5.16,27.5,33,103,7.83,4.69,-1
Robert Brewster,OT,Ball State,76,325,5.29,30.5,23,98,7.68,4.75,3
Travis Bright,OG,BYU,76,321,5.26,35.5,34,108,7.75,4.72,-1
Eben Britton,OT,Arizona,78,309,5.14,28.5,24,100,7.87,4.91,2
Rob Bruggeman,C,Iowa,76,293,5.05,,30,,,,-1
Gerald Cadogan,OT,Penn State,77,309,4.99,25,26,95,8.05,4.8,-1
Antoine Caldwell,C,Alabama,75,309,5.24,28,23,111,7.96,5.04,3
Trevor Canfield,OG,Cincinnati,76,307,5.28,,29,,,,7
Jon Cooper,C,Oklahoma,74,291,5.09,29.5,31,105,7.46,4.6,-1
C.J. Davis,OG,Pittsburgh,74,308,5.51,25.5,21,88,8.09,4.93,-1
Paul Fanaika,OG,Arizona State,77,327,5.48,,15,,,,7
Ray Feinga,OG,BYU,76,337,5.32,,30,,,,-1
Robby Felix,C,Texas-El Paso,75,302,5.2,29,33,97,7.96,4.73,-1
Alex Fletcher,C,Stanford,74,297,5.39,28,30,96,7.78,4.65,-1
Ramon Foster,OT,Tennessee,77,328,5.57,26,20,92,7.96,4.98,-1
Xavier Fulton,OT,Illinois,76,302,5.01,31,27,111,7.35,4.56,5
Juan Garcia,OG,Washington,74,307,5.28,25,34,93,8,4.87,-1
Andrew Gardner,OT,Georgia Tech,79,304,4.96,,,,,,6
Dan Gay,OG,Baylor,76,308,5.48,22.5,18,86,8.67,5.42,-1
Tyronne Green,OG,Auburn,74,309,5.4,,22,,,,4
Brett Helms,C,LSU,74,286,5.39,,25,,,,-1
Greg Isdaner,OG,West Virginia,75,325,5.28,27,24,92,7.96,5.07,-1
Herman Johnson,OG,LSU,79,364,5.5,,21,,,,5
Andy Kemp,OG,Wisconsin,77,313,5.35,25.5,23,91,7.86,4.86,-1
Troy Kropog,OT,Tulane,77,309,5.3,30,21,100,7.65,4.84,4
Andy Levitre,OG,Oregon State,75,305,5.33,30.5,23,103,,4.52,2
Cornelius Lewis,OT,Tennessee State,75,332,5.22,24.5,29,90,,,-1
Kyle Link,OT,McNeese State,77,305,5.45,,19,,,,-1
Phil Loadholt,OT,Oklahoma,80,332,5.45,29,24,95,8.18,5.06,2
Jonathan Luigs,C,Arkansas,76,301,5.14,31,26,99,7.69,4.79,4
Alex Mack,C,California,76,311,5.17,,,,,,1
Ryan McKee,OT,Southern Miss,78,296,5.03,,,,,,-1
Jamon Meredith,OT,South Carolina,77,304,4.99,28,31,105,8.01,4.82,5
Mo Miller,OG,Michigan State,75,327,5.38,28.5,21,97,8.42,5.03,-1
Eugene Monroe,OT,Virginia,77,309,5.18,28.5,23,110,7.86,4.78,1
Lydon Murtha,OT,Nebraska,79,306,4.82,35,25,110,7.06,4.34,7
Michael Oher,OT,Mississippi,76,309,5.16,30.5,21,103,7.81,4.6,1
Seth Olsen,OG,Iowa,77,306,5.23,24.5,23,90,7.59,4.7,4
Anthony Parker,OG,Tennessee,74,297,5.08,,24,,,,-1
Augustus Parrish,OT,Kent State,76,302,5.29,,21,78,,,-1
Garrett Reynolds,OT,North Carolina,80,309,5.32,22,19,94,7.87,4.88,5
Duke Robinson,OG,Oklahoma,77,329,5.32,,,,,,5
A.Q. Shipley,C,Penn State,73,304,5.19,31,33,100,7.46,4.4,7
Matt Slauson,OG,Nebraska,77,316,5.26,34,,110,7.86,4.86,6
Andre Smith,OT,Alabama,76,332,5.28,,,,,,1
Jason Smith,OT,Baylor,77,309,5.09,24,33,96,7.53,4.69,1
Jaimie Thomas,OG,Maryland,76,323,5.29,,20,,,,7
Fenuki Tupou,OT,Oregon,77,314,5.2,25.5,24,94,8.33,5.02,5
Max Unger,C,Oregon,77,309,5.26,24.5,22,93,7.39,4.5,2
Kraig Urbik,OG,Wisconsin,77,328,5.25,24,29,94,7.87,4.89,3
Jose Valdez,OT,Arkansas,76,315,5.16,29.5,15,100,7.93,4.93,-1
Louis Vasquez,OG,Texas Tech,77,333,5.22,,39,,,,3
Brandon Walker,OG,Notre Dame,75,306,5.09,34,26,109,,5.07,-1
Jason Watkins,OT,Florida,78,318,5.51,24.5,18,90,7.89,5.03,-1
Edwin Williams,C,Maryland,74,308,5.4,28.5,22,99,8.15,4.98,-1
Eric Wood,C,Louisville,76,310,5.19,30.5,30,99,7.56,4.51,1
Jon Asamoah,OG,Illinois,76,305,5.07,,,,,,3
Zane Beadles,OG,Utah,76,310,5.28,,27,,,,2
Ciron Black,OG,LSU,76,327,5.53,25.5,23,91,8.52,5.13,-1
Dorian Brooks,OG,James Madison,74,306,5.15,23,26,100,7.73,4.66,-1
Charles Brown,OT,USC,77,303,5.21,31.5,21,,,,2
Bryan Bulaga,OT,Iowa,77,314,5.2,27.5,26,98,7.7,4.75,1
Jeff Byers,C,USC,75,301,5.04,,33,,,,-1
Kyle Calloway,OT,Iowa,78,323,5.46,23.5,22,92,7.96,4.86,7
Bruce Campbell,OT,Maryland,78,314,4.75,32,34,101,7.58,4.69,4
Selvish Capers,OT,West Virginia,77,308,5.11,30.5,19,106,7.68,4.68,7
Brandon Carter,OG,Texas Tech,78,329,5.34,24.5,22,102,7.82,4.94,-1
Erik Cook,C,New Mexico,78,318,5.55,25,19,94,8.24,4.99,7
Anthony Davis,OT,Rutgers,77,323,5.36,33,21,99,8.17,4.97,1
Chris DeGeare,OG,Wake Forest,76,325,5.12,32.5,27,103,7.84,4.9,5
Vladimir Ducasse,OT,Massachusetts,76,332,5.21,26,29,91,8.25,4.97,2
Jason Fox,OT,Miami (FL),79,303,5.45,,23,,,,4
Kurtis Gregory,OG,Missouri,76,305,5.31,25.5,26,91,7.62,4.93,-1
Joe Hawley,C,UNLV,75,297,5.21,26,35,105,7.5,4.73,4
Mike Iupati,OG,Idaho,77,331,5.24,27.5,27,92,7.85,4.93,1
John Jerry,OT,Mississippi,77,328,5.15,27.5,,101,7.93,4.69,3
Mike Johnson,OG,Alabama,77,312,5.37,25,,91,8.15,5.01,3
Kyle Jolly,OT,North Carolina,78,311,5.36,21.5,20,89,7.89,4.87,-1
Matt Kopa,OT,Stanford,78,300,5.14,,,,,,-1
Ted Larsen,C,North Carolina State,75,304,5.19,24,26,96,7.81,4.66,6
Shawn Lauvao,OG,Arizona State,75,315,5.22,26.5,33,101,7.56,4.51,3
Marshall Newhouse,OG,TCU,76,319,4.99,25,25,97,7.4,4.6,5
Russell Okung,OT,Oklahoma State,77,307,5.18,,38,,,,1
Eric Olsen,C,Notre Dame,76,306,5.25,29.5,35,93,7.5,4.82,6
Alex Parsons,OG,USC,76,309,5.12,27,23,99,,,-1
Cole Pemberton,OT,Colorado State,79,315,5.37,22.5,18,96,7.65,4.77,-1
Mitch Petrus,OG,Arkansas,75,310,5.34,,45,,,,5
Maurkice Pouncey,C,Florida,76,304,5.25,,,95,7.74,4.92,1
Dace Richardson,OG,Iowa,77,320,5.76,23.5,19,87,8.58,5.38,-1
Rodger Saffold,OT,Indiana,77,316,5.21,29.5,27,113,7.42,4.67,2
Chris Scott,OG,Tennessee,77,319,5.52,22.5,19,90,8.24,5.03,5
Shelley Smith,OG,Colorado State,75,300,5.03,34,26,112,7.67,4.71,6
Matt Tennant,C,Boston Col.,77,300,5.15,25,27,98,7.6,4.62,5
Mike Tepper,OG,California,77,324,5.31,26.5,28,94,7.95,5.25,-1
Adam Ulatoski,OG,Texas,77,300,5.52,26,24,94,7.98,4.99,-1
Jared Veldheer,OT,Hillsdale,80,312,5.06,33.5,32,109,7.4,4.51,3
J.D. Walton,C,Baylor,75,300,5.19,27,24,101,7.6,4.69,3
Ed Wang,OT,Virginia Tech,77,314,5.18,27,29,96,,4.7,5
Tony Washington,OT,Appalachian State,78,311,5.25,29.5,33,114,7.52,4.84,-1
Thomas Welch,OT,Vanderbilt,78,307,5.42,29,29,105,7.67,4.8,7
Trent Williams,OT,Oklahoma,77,315,4.81,34.5,23,113,7.64,4.63,1
Sam Young,OT,Notre Dame,80,316,5.2,29.5,29,104,7.73,4.87,6
David Arkin,OG,Missouri State,77,300,5.31,29,25,103,7.6,4.63,4
Joe Barksdale,OT,LSU,77,325,5.31,29,29,103,8.27,4.75,3
Ryan Bartholomew,C,Syracuse,73,302,4.93,26.5,34,92,7.62,4.62,-1
Clint Boling,OG,Georgia,77,308,5.28,31,28,102,7.66,4.64,4
Justin Boren,OG,Ohio State,75,309,5.4,,28,,7.57,4.75,-1
James Brewer,OT,Indiana,78,323,5.21,26,25,100,7.84,4.81,4
Marcus Cannon,OT,TCU,77,358,5.26,30.5,33,105,8.07,4.97,5
Gabe Carimi,OT,Wisconsin,79,314,5.18,31.5,29,109,,,1
James Carpenter,OT,Alabama,76,321,5.22,,23,,,,1
Anthony Castonzo,OT,Boston Col.,79,311,5.21,29.5,28,105,7.25,4.4,1
Garrett Chisolm,OG,South Carolina,77,312,5.36,,,,,,-1
Josh Davis,OT,Georgia,79,313,5.5,24,,91,7.98,5.07,-1
Ray Dominguez,OG,Arkansas,76,334,5.45,27.5,21,90,7.74,4.9,-1
Orlando Franklin,OT,Miami (FL),77,316,5.11,28.5,26,,,,2
Brandon Fusco,C,Slippery Rock,76,306,5.18,28.5,26,108,7.29,4.43,6
Marcus Gilbert,OT,Florida,78,330,5.41,,30,,,,2
Adam Grant,OT,Arizona,78,325,5.54,26.5,25,99,8.25,5,-1
Chris Hairston,OT,Clemson,78,326,5.38,29,33,96,7.9,4.7,4
Ricky Henry,OG,Nebraska,75,308,5.68,24,20,90,7.98,4.68,-1
Kyle Hix,OT,Texas,79,319,5.44,32,24,104,7.77,4.78,-1
Rodney Hudson,C,Florida State,74,299,5.27,25.5,27,95,8.03,4.96,2
Kevin Hughes,OT,SE Louisiana,76,302,5.31,29.5,22,95,8.29,4.97,-1
Zach Hurd,OG,Connecticut,79,316,5.28,28,,101,7.73,4.77,-1
Maurice Hurt,OG,Florida,75,318,5.39,,18,,,,7
Ben Ijalana,OG,Villanova,76,317,5.2,,,,,,2
Andrew Jackson,OG,Fresno State,77,299,5.27,28,25,98,7.55,4.65,7
Carl Johnson,OG,Florida,77,361,5.4,25.5,25,96,,5.03,-1
Jason Kelce,C,Cincinnati,75,280,4.89,30.5,,110,7.22,4.14,6
Daniel Kilgore,OG,Appalachian State,75,308,5.28,32.5,23,105,7.59,4.68,5
Jarriel King,OT,South Carolina,77,317,5.03,30,23,114,7.6,4.77,-1
Rich Lapham,OT,Boston Col.,80,315,5.34,,,,,,-1
Alex Linnenkohl,C,Oregon State,74,304,5.36,26.5,24,89,7.67,4.62,-1
DeMarcus Love,OT,Arkansas,76,315,5.18,26.5,27,97,7.84,4.84,6
John Moffitt,OG,Wisconsin,76,319,5.51,30.5,23,102,7.79,4.53,3
Derek Newton,OT,Arkansas State,77,311,5,25.5,24,100,7.76,5,7
Kris O'Dowd,C,USC,76,304,5.12,32.5,31,105,7.67,4.59,-1
Mike Person,OG,Montana State,76,299,5.07,28,21,108,7.44,4.5,7
Jason Pinkston,OT,Pittsburgh,75,317,5.39,26.5,,98,7.88,4.91,5
Mike Pouncey,OG,Florida,77,303,5.12,25,,96,7.66,4.64,1
Will Rackley,OG,Lehigh,75,309,5.39,23.5,29,99,7.91,4.94,3
Jah Reid,OT,Central Florida,79,327,5.32,29.5,28,111,7.73,4.65,3
Steve Schilling,OG,Michigan,76,308,5.18,25.5,30,98,7.73,4.62,6
Caleb Schlauderaff,OG,Utah,76,305,5.18,,,,,,6
Derek Sherrod,OT,Mississippi State,77,321,5.18,28,23,97,7.43,4.63,1
Tyron Smith,OT,USC,77,307,4.93,,29,,,,1
Willie Smith,OT,East Carolina,77,310,5.4,30.5,,106,7.95,4.83,-1
Nate Solder,OT,Colorado,80,319,4.96,32,21,110,7.44,4.34,1
Zane Taylor,C,Utah,74,309,5.52,25.5,33,104,8.15,4.77,-1
Isaiah Thompson,OG,Houston,75,300,6,25,23,82,9.04,5.56,-1
Julian Vandervelde,OG,Iowa,74,301,5.12,31,23,104,7.46,4.59,5
Danny Watkins,OG,Baylor,75,310,5.36,26,29,92,7.61,4.62,1
Keith Williams,OG,Nebraska,76,318,5.28,24.5,23,93,8.42,5.03,6
Zack Williams,C,Washington State,75,309,5.18,30,28,103,7.54,4.62,-1
Stefen Wisniewski,C,Penn State,75,313,5.29,28.5,30,100,7.51,4.63,2
Lee Ziemba,OT,Auburn,78,317,5.5,29,20,95,7.74,4.65,7
Mike Adams,OT,Ohio State,79,323,5.28,28.5,19,100,7.94,4.95,2
Jeff Allen,OT,Illinois,76,307,5.17,27.5,26,102,8.01,4.9,2
Justin Anderson,OT,Georgia,76,335,5.24,27,32,101,8.04,4.99,7
Mark Asper,OG,Oregon,78,319,5.32,,23,,,,6
Kelvin Beachum,OG,SMU,75,303,5.38,28.5,19,101,7.79,4.8,7
Tony Bergstrom,OT,Utah,77,313,5.19,29.5,32,101,7.95,4.84,3
Philip Blake,C,Baylor,75,311,5.17,29.5,22,105,7.86,4.65,4
Mike Brewster,C,Ohio State,76,312,5.22,25,29,96,7.73,4.6,-1
James Brown,OG,Troy,75,306,5.19,25.5,24,102,7.7,4.78,-1
Tom Compton,OT,South Dakota,77,314,5.01,30,20,108,7.59,4.6,6
Paul Cornick,OT,North Dakota State,77,310,5.3,,25,,,,-1
John Cullen,OT,Utah,76,297,5.28,27,23,102,7.58,4.59,-1
Andrew Datko,OT,Florida State,78,315,5.19,29.5,,100,7.71,4.54,7
David DeCastro,OG,Stanford,77,316,5.32,29.5,34,98,7.3,4.56,1
Taylor Dever,OT,Notre Dame,77,298,5.4,28,18,100,7.49,4.9,-1
Garth Gerhart,C,Arizona State,73,305,5.38,30.5,25,96,7.63,4.65,-1
Adam Gettis,OG,Iowa,74,293,4.9,31.5,,112,7.99,4.65,5
Cordy Glenn,OT,Georgia,78,345,5.08,23.5,31,93,8.13,5,2
Lamar Holmes,OT,Southern Miss,77,323,5.29,27,22,104,7.74,4.8,3
Rishaw Johnson,OG,California (PA),75,313,5.12,31.5,22,108,7.87,4.53,-1
Ben Jones,C,Georgia,75,303,5.35,30.5,29,105,7.95,4.74,4
Marcel Jones,OT,Nebraska,78,320,5.57,27.5,13,95,8.03,5.12,7
Matt Kalil,OT,USC,79,306,4.96,27,30,,7.33,4.65,1
Senio Kelemete,OG,Washington,76,307,5.39,25,21,101,7.77,4.58,5
Peter Konz,C,Wisconsin,77,314,5.16,,18,,,,2
Ronald Leary,OG,Memphis,75,315,5.23,29,30,104,7.87,4.91,-1
Josh LeRibeus,OG,SMU,75,312,5.31,26,29,96,7.64,4.65,3
Joe Looney,OG,Wake Forest,75,309,5.02,,26,,,,4
Jonathan Martin,OT,Stanford,77,312,5.27,,,,,,2
Bobby Massie,OT,Mississippi,78,316,5.18,27.5,22,103,7.7,4.95,4
Matt McCants,OT,Ala-Birmingham,78,308,5.4,25.5,17,97,,,6
Antoine McClain,OG,Clemson,77,329,5.48,27,19,91,8.13,4.82,-1
Ryan Miller,OG,Colorado,79,321,5.16,28,32,100,7.72,4.78,5
David Molk,C,Michigan,73,298,5.18,,41,,,,7
Brandon Mosley,OT,Auburn,78,314,5.14,27,30,103,7.43,4.78,4
Lucas Nix,OG,Pittsburgh,77,317,5.36,29.5,,102,7.81,4.9,-1
Josh Oglesby,OT,Virginia Tech,79,338,5.75,28.5,22,,,,-1
Kelechi Osemele,OT,Iowa State,77,333,5.22,26.5,32,104,7.91,4.87,2
Nate Potter,OT,Boise State,78,303,5.26,28.5,22,100,7.49,4.67,7
Riley Reiff,OT,Iowa,78,313,5.16,26.5,23,98,7.87,4.75,1
Matt Reynolds,OT,BYU,76,302,5.27,,25,,,,-1
