Player,Pos,School,Ht,Wt,40yd,Vertical,Bench,Broad_Jump,3Cone,Shuttle,Draft_Pick,Draft_Year
Jeff McCurley,C,Pittsburgh,76,280,5.25,,,,,,-1,2001
Kareem McKenzie,OT,Penn State,78,328,5.33,33,20,104,7.87,4.8,1,2001
Mathias Nkwenti,OG,Temple,75,293,5.57,35.5,29,113,7.66,4.18,1,2001
Dennis Norman,OG,Princeton,76,305,5.16,35,25,107,8.08,4.72,1,2001
Chukky Okobi,C,Purdue,73,316,5.27,32.5,24,103,7.87,4.61,1,2001
Tupe Peko,C,Michigan State,76,300,5.36,28,,92,8.1,4.56,1,2001
Casey Rabach,C,Wisconsin,76,298,5.23,,19,,,,1,2001
Dominic Raiola,C,Nebraska,74,307,5.13,33,29,108,7.55,4.35,1,2001
Josh Redding,OG,Virginia Tech,76,317,5.47,27,31,97,7.85,4.8,-1,2001
Ray Redziniak,OG,Illinois,75,296,5.5,27,32,92,8.17,4.77,-1,2001
Bernard Robertson,OG,Tulane,75,308,5.24,30,19,106,8.06,4.58,1,2001
Kendrick Rogers,OT,Central Missouri State,77,311,5.16,,23,,,,-1,2001
Elliot Silvers,OT,Washington,79,348,5.43,31.5,19,99,7.81,4.66,1,2001
Omar Smith,OG,Kentucky,74,293,5.33,30,21,98,,,-1,2001
Tim Stuber,OG,Colorado State,77,315,5.6,28,22,96,8.06,4.75,-1,2001
Alex Sulfsted,OG,Miami (OH),76,312,5.3,30.5,,96,,,1,2001
Marques Sullivan,OT,Illinois,77,338,5.32,30.5,28,98,8.36,4.8,1,2001
Tarlos Thomas,OT,Florida State,77,336,5.52,25,19,92,8.6,4.9,-1,2001
Albert Traylor,OG,NW State (LA),75,307,5.42,27,20,96,8.34,,-1,2001
Chris Valletta,OG,Texas A&M,75,299,5.32,33.5,18,98,7.9,4.53,-1,2001
Patrick Venzke,OT,Idaho,78,303,5.28,34,,103,8.08,4.59,-1,2001
Keydrick Vincent,OG,Mississippi,77,328,5.61,32.5,23,94,,,-1,2001
Kenyatta Walker,OT,Florida,77,311,5.17,31.5,24,109,7.7,4.6,1,2001
Chad Ward,OG,Washington,76,321,5.23,32.5,26,99,7.98,4.9,1,2001
Louis Williams,OG,LSU,76,299,5.48,28.5,25,103,7.86,4.67,1,2001
Maurice Williams,OT,Michigan,77,304,5.2,,24,,,,1,2001
Brandon Winey,OT,LSU,78,301,5.3,,,,,,1,2001
Pork Chop Womack,OG,Mississippi State,76,345,5.51,29.5,23,97,8.78,4.96,-1,2001
Paul Zukauskas,OG,Boston Col.,77,307,5.3,,22,,,,1,2001
P.J. Alexander,OG,Syracuse,76,299,5.38,29.5,,102,7.9,4.73,-1,2002
Matt Anderle,OT,Minnesota,78,327,5.5,29,26,104,7.99,4.8,1,2002
Jason Ball,C,New Hampshire,74,301,5.41,29,27,94,7.87,4.73,-1,2002
Kevin Barry,OG,Arizona,76,325,5.34,28.5,24,108,8.34,4.73,-1,2002
LeCharles Bentley,C,Ohio State,74,299,5.19,25.5,,103,7.85,4.54,1,2002
Martin Bibla,OG,Miami (FL),75,306,5.08,,35,,,,1,2002
Pete Campion,OG,North Dakota State,76,307,5.26,25.5,30,88,7.96,4.81,1,2002
Reggie Coleman,OT,Tennessee,77,301,5.23,29,,103,7.84,4.88,1,2002
Mike Collins,OT,Wake Forest,77,300,5.53,25.5,32,104,8.62,4.98,-1,2002
Marc Colombo,OT,Boston Col.,80,313,5.27,29.5,30,101,7.65,4.6,1,2002
Alonzo Cunningham,OG,Iowa,76,316,5.46,24,,98,8.52,4.73,-1,2002
Konrad Dean,OG,Akron,76,333,5.57,27.5,30,97,8.37,4.97,-1,2002
Howard Duncan,OG,Oklahoma,76,324,5.44,28.5,22,101,8.31,4.69,-1,2002
