Player,Pos,School,Ht,Wt,40yd,Vertical,Bench,Broad_Jump,3Cone,Shuttle,Draft_Pick,Draft_Year
Jamil Demby,OG,Maine,76,319,5.58,23.5,17,98,7.86,4.95,1,2018
Nick Gates,OT,Nebraska,77,307,5.46,24,20,94,7.61,4.68,-1,2018
Colby Gossett,OG,Appalachian State,77,311,5.2,25,32,103,7.6,4.83,1,2018
Desmond Harrison,OT,West Georgia,78,292,4.9,,,,,,-1,2018
Taylor Hearn,OG,Clemson,76,320,5.45,24,18,96,7.84,4.8,-1,2018
Will Hernandez,OG,Texas-El Paso,74,327,5.15,24,37,104,7.59,4.7,1,2018
Jamarco Jones,OT,Ohio State,76,299,5.5,24,,102,8.32,4.99,1,2018
Sam Jones,OG,Arizona State,77,305,5.32,27,28,101,7.92,4.86,1,2018
Jaryd Jones-Smith,OT,Pittsburgh,78,317,5.22,27,16,109,8.1,4.94,-1,2018
Rick Leonard,OT,Florida State,79,311,,,19,,,,1,2018
Cole Madison,OL,Washington State,77,308,5.33,28.5,26,97,7.86,4.88,1,2018
K.J. Malone,OG,LSU,76,303,5.34,29.5,15,103,,,-1,2018
Kc McDermott,OG,Miami (FL),78,311,5.35,23.5,26,97,7.72,4.82,-1,2018
Mike McGlinchey,OT,Notre Dame,80,309,,28.5,24,105,,,1,2018
Kolton Miller,OT,UCLA,81,309,4.95,31.5,24,121,7.34,4.49,1,2018
Quenton Nelson,OG,Notre Dame,77,325,,26.5,35,105,7.65,4.62,1,2018
Joseph Noteboom,OT,TCU,77,309,4.96,24,27,102,7.65,4.44,1,2018
Brian O'neill,OT,Pittsburgh,79,297,4.82,29.5,22,107,7.14,4.5,1,2018
Chukwuma Okorafor,OT,West. Michigan,78,320,5.31,23.5,19,102,7.87,4.8,1,2018
Brandon Parker,OT,North Carolina A&T,80,305,5.4,28.5,,113,7.82,4.68,1,2018
Timon Parris,OT,Stony Brook,78,312,,,27,,,,-1,2018
Skyler Phillips,OG,Idaho State,75,318,5.1,29,,104,7.95,4.69,-1,2018
Billy Price,C,Ohio State,76,305,,,,,,,1,2018
Scott Quessenberry,C,UCLA,76,310,5.09,33.5,25,111,7.5,4.69,1,2018
Frank Ragnow,C,Arkansas,77,312,,,26,,,,1,2018
Martinas Rankin,OL,Mississippi State,76,308,,,24,,,,1,2018
Will Richardson,OT,North Carolina State,78,306,5.26,31.5,,108,7.8,4.83,1,2018
Greg Senat,OT,Wagner,78,302,5.38,26,19,106,7.41,4.71,1,2018
Coleman Shelton,C,Washington,75,292,5.24,26.5,,110,7.62,4.59,-1,2018
Braden Smith,OG,Auburn,78,315,5.22,33.5,35,113,,4.77,1,2018
Rod Taylor,OT,Mississippi,75,320,5.24,30.5,,99,,,1,2018
Wyatt Teller,OG,Virginia Tech,76,314,5.24,29,30,114,7.45,4.84,1,2018
Brett Toth,OT,Army,78,291,,,,,,,-1,2018
Salesi Uhatafe,OG,Utah,77,310,5.4,28,,109,7.7,4.9,-1,2018
Toby Weathersby,OT,LSU,76,317,5.34,24.5,28,106,8.55,5.38,-1,2018
Sean Welsh,C,Iowa,75,306,5.43,25,20,103,7.9,4.81,-1,2018
Connor Williams,OT,Texas,77,296,5.05,34,26,112,7.83,4.63,1,2018
Isaiah Wynn,OG,Georgia,75,313,,,,,,,1,2018
Paul Adams,OT,Missouri,78,317,5.18,27,16,103,7.68,4.74,-1,2019
Zack Bailey,OL,South Carolina,77,299,,28,24,103,,,-1,2019
Alex Bars,OL,Notre Dame,78,312,,,,,,,-1,2019
Jackson Barton,OT,Utah,79,310,5.18,27,25,109,7.85,4.66,1,2019
Ryan Bates,OL,Penn State,76,306,5.09,27,28,102,7.45,4.53,-1,2019
Beau Benzschawel,OL,Wisconsin,78,309,5.24,,20,,,,-1,2019
Garrett Bradbury,OL,North Carolina State,75,306,4.92,31,34,104,7.41,4.53,1,2019
Yodny Cajuste,OT,West Virginia,77,312,,,32,,,,1,2019
Deion Calhoun,OL,Mississippi State,74,310,5.07,28.5,26,105,7.46,4.62,-1,2019
Dennis Daley,OT,South Carolina,77,317,5.23,26.5,20,103,7.95,4.92,1,2019
Nate Davis,OL,Charlotte,75,316,5.23,26,23,107,7.94,4.83,1,2019
Michael Deiter,OL,Wisconsin,77,309,5.23,28,21,105,7.88,4.81,1,2019
Andre Dillard,OT,Washington State,77,315,4.96,29,24,118,7.44,4.4,1,2019
